01747     00074-1463-01  N0000762000000288
01747     00074-1219-01  N0006882000000360
01747     00074-1212-01  N0000960000000600
01747     00024-1800-01  N0018420000000360
01747     00013-5606-93  N0006360000000288
01747     00013-5636-70  N0025998000000288
01747     00013-5616-93  N0010800000000288
01747     00013-5646-70  N0051982800000288
01747     00013-5626-93  N0022800000000288
01747     00074-3723-01  N0003264000000360
01747     00074-4107-01  N0002106000000360
01747     00074-4104-01  N0003888000000360
01747     00074-3024-01  N0000348000002400
01747     00074-7041-01  N0011443200000144
01747     00074-4548-01  N0006350400000144
01747     00074-1317-01  N0004052400000144
01747     00074-1317-02  N0004620000000144
01747     00074-1584-01  N0002580000000600
01747     00074-1872-02  N0004890000000300
01747     00074-1874-05  N0006300000000300
01747     00074-1846-02  N0012600000000300
01747     00074-1866-02  N0004860000000300
01747     00074-3296-06  N0011670000000360
01747     00074-8183-01  N0002688000000288
01747     00074-3294-51  N0006168000000360
01747     00074-6635-01  N0001282800000144
01747     00074-6651-06  N0001080000000144
01747     00074-4932-01  N0005790000000360
01747     00074-6636-01  N0001290000000288
01747     00074-6653-05  N0001260000000240
01747     00074-4994-19  N0004320000000360
01747     00074-4201-01  N0014820000000360
01747     00074-7296-01  N0001914000000360
01747     00074-7295-01  N0001740000000288
01747     00074-1499-01  N0010914000000144
01747     00074-1826-02  N0004440000000360
01747     00074-1902-01  N0002594400000144
01747     00074-1903-01  N0002688000000144
01747     00074-1923-04  N0003354000000360
01747     00074-1953-04  N0003354000000360
01747     00024-1880-22  N0002790000000360
01747     00074-3299-06  N0008400000000360
01747     00074-3299-05  N0006600000000288
01747     00074-7299-01  N0001530000000288
01747     00074-6625-02  N0001890000000288
01747     00074-4916-22  N0003855600000300
01747     00074-4900-18  N0004800000000240
01747     00074-6637-34  N0004168800000300
01747     00074-4916-34  N0004287600000300
01747     00074-4900-34  N0005550000000360
01747     00074-4888-99  N0002928000000144
01747     00074-4888-10  N0000816000000600
01747     00074-1812-22  N0004284000000288
01747     00074-4888-20  N0001092000000360
01747     00074-1812-23  N0003376800000144
01747     00074-4888-50  N0002220000000144
01747     00074-1812-25  N0003376800000144
01747     00074-7132-02  N0009000000000360
01747     00074-7730-20  N0018000000000360
01747     00074-7984-37  N0014307600000144
01747     00074-1918-33  N0003183600000360
01747     00074-1584-01  N0007200000000144
01747     00074-7101-02  N0010068000000144
01747     00074-7101-13  N0013800000000144
01747     00074-1918-35  N0003183600000360
01747     00074-1130-02  N0006600000000144
01747     00074-1966-07  N0001068000000600
01747     00074-7985-02  N0008400000000360
01747     00074-7391-72  N0002907600000144
01747     00074-3577-01  N0007920000000144
01747     00074-3590-02  N0011193600000144
01747     00074-3578-01  N0012724800000144
01747     00074-3296-06  N0019704000000144
01747     00074-5779-01  N0008880000000288
01747     00074-3297-06  N0019800000000144
01747     00074-3298-06  N0018960000000144
01747     00074-3844-01  N0008160000000288
01747     00074-6533-01  N0006900000000180
01747     00074-6535-01  N0011400000000144
01747     00074-4332-01  N0003150000000072
01747     00074-6534-01  N0006339600000144
01747     00074-6509-01  N0003228000000600
01747     00074-4011-01  N0000384000000144
01747     00074-1982-02  N0002544000000144
01747     00074-1144-01  N0000372000000288
01747     00013-7456-86  N0021163200000288
01747     00013-7466-86  N0042332400000288
01747     00074-9157-01  N0006360000000024
01747     00074-9158-01  N0011970000000024
01747     00074-4887-99  N0003120000000144
01747     00074-4887-10  N0000870000000360
01747     00074-4887-20  N0001728000000240
01747     00074-4887-50  N0001974000000144
01747     17478-0216-12  N0000435600000144
01747     17478-0200-12  N0000489600000144
01747     17478-0240-35  N0000363600000144
01747     17478-0239-10  N0000478800000144
01747     17478-0060-12  N0000225600000144
01747     17478-0062-35  N0000292800000144
01747     17478-0283-10  N0000171600000144
01747     17478-0061-12  N0000405600000144
01747     17478-0063-35  N0000348000000144
01747     00065-0396-05  N0001572000000012
01747     00998-0206-15  N0001656000002400
01747     08065-1839-05  N0011340000000500
01747     00023-7915-60  N0002442000000030
01747     00023-0817-99  N0001546800000176
01747     11980-0211-15  N0005035200000720
01747     11980-0117-05  N0000540000000036
01747     00517-0401-25  N0001056000000036
01747     00517-1010-25  N0001056000000036
01747     00517-8810-01  N0001620000000036
01747     00517-1502-25  N0003162000000036
01747     00517-0130-01  N0000246000000036
01747     00517-8575-10  N0016102800000036
01747     00517-4905-25  N0001482000000036
01747     00517-4930-25  N0004928400000036
01747     00517-4901-25  N0000988800000036
01747     00517-1905-25  N0001725600000036
01747     00517-1805-25  N0001129200000036
01747     00517-1305-25  N0002929200000036
01747     00517-1071-25  N0005134800000036
01747     00517-5710-25  N0002235600000036
01747     00517-5702-25  N0001122000000036
01747     00517-5704-25  N0001234800000036
01747     00517-5602-25  N0000988800000036
01747     00469-4201-25  N0000990000000036
01747     00517-5601-25  N0000988800000036
01747     00517-2064-05  N0001970400000036
01747     00517-2602-25  N0000988800000036
